Section,Original Classification,Year,value_andel,Company Size,Classification,Region
A01,Tot250,2021,3.0,Tot250,,
A01,Tot250,2023,3.0,Tot250,,
A01,Tot250,2024,10.0,Tot250,,
A01,10-49,2021,3.0,10-49,,
A01,10-49,2023,3.0,10-49,,
A01,10-49,2024,9.0,10-49,,
A01,50-249,2021,6.0,50-249,,
A01,50-249,2023,4.0,50-249,,
A01,50-249,2024,13.0,50-249,,
A01,250-,2021,12.0,250-,,
A01,250-,2023,9.0,250-,,
A01,250-,2024,18.0,250-,,
A01,TotSNI,2021,3.0,,TotSNI,
A01,TotSNI,2023,3.0,,TotSNI,
A01,TotSNI,2024,10.0,,TotSNI,
A01,10-33,2021,2.0,,10-33,
A01,10-33,2023,1.0,,10-33,
A01,10-33,2024,4.0,,10-33,
A01,35-39,2021,2.0,,35-39,
A01,35-39,2023,2.0,,35-39,
A01,35-39,2024,5.0,,35-39,
A01,41-43,2021,0.0,,41-43,
A01,41-43,2023,0.0,,41-43,
A01,41-43,2024,4.0,,41-43,
A01,45-47,2021,4.0,,45-47,
A01,45-47,2023,5.0,,45-47,
A01,45-47,2024,14.0,,45-47,
A01,49-53,2021,3.0,,49-53,
A01,49-53,2023,0.0,,49-53,
A01,49-53,2024,4.0,,49-53,
A01,55-56,2021,2.0,,55-56,
A01,55-56,2023,,,55-56,
A01,55-56,2024,6.0,,55-56,
A01,58-63,2021,11.0,,58-63,
A01,58-63,2023,11.0,,58-63,
A01,58-63,2024,29.0,,58-63,
A01,68,2021,,,68,
A01,68,2023,,,68,
A01,68,2024,4.0,,68,
A01,IKT,2021,10.0,,,IKT
A01,IKT,2023,10.0,,,IKT
A01,IKT,2024,26.0,,,IKT
A01,SE,2021,3.0,,,SE
A01,SE,2023,3.0,,,SE
A01,SE,2024,10.0,,,SE
A01,RIKS1,2021,5.0,,,RIKS1
A01,RIKS1,2023,5.0,,,RIKS1
A01,RIKS1,2024,15.0,,,RIKS1
A01,RIKS2,2021,3.0,,,RIKS2
A01,RIKS2,2023,2.0,,,RIKS2
A01,RIKS2,2024,11.0,,,RIKS2
A01,RIKS3,2021,1.0,,,RIKS3
A01,RIKS3,2023,,,,RIKS3
A01,RIKS3,2024,6.0,,,RIKS3
A01,RIKS4,2021,2.0,,,RIKS4
A01,RIKS4,2023,2.0,,,RIKS4
A01,RIKS4,2024,9.0,,,RIKS4
A01,RIKS5,2021,2.0,,,RIKS5
A01,RIKS5,2023,3.0,,,RIKS5
A01,RIKS5,2024,9.0,,,RIKS5
A01,RIKS6,2021,3.0,,,RIKS6
A01,RIKS6,2023,2.0,,,RIKS6
A01,RIKS6,2024,4.0,,,RIKS6
A01,RIKS7,2021,4.0,,,RIKS7
A01,RIKS7,2023,,,,RIKS7
A01,RIKS7,2024,9.0,,,RIKS7
A01,RIKS8,2021,3.0,,,RIKS8
A01,RIKS8,2023,0.0,,,RIKS8
A01,RIKS8,2024,5.0,,,RIKS8
A02,Tot250,2021,2.0,Tot250,,
A02,Tot250,2023,3.0,Tot250,,
A02,Tot250,2024,5.0,Tot250,,
A02,10-49,2021,1.0,10-49,,
A02,10-49,2023,3.0,10-49,,
A02,10-49,2024,4.0,10-49,,
A02,50-249,2021,4.0,50-249,,
A02,50-249,2023,4.0,50-249,,
A02,50-249,2024,8.0,50-249,,
A02,250-,2021,15.0,250-,,
A02,250-,2023,17.0,250-,,
A02,250-,2024,18.0,250-,,
A02,TotSNI,2021,2.0,,TotSNI,
A02,TotSNI,2023,3.0,,TotSNI,
A02,TotSNI,2024,5.0,,TotSNI,
A02,10-33,2021,3.0,,10-33,
A02,10-33,2023,3.0,,10-33,
A02,10-33,2024,4.0,,10-33,
A02,35-39,2021,7.0,,35-39,
A02,35-39,2023,6.0,,35-39,
A02,35-39,2024,6.0,,35-39,
A02,41-43,2021,0.0,,41-43,
A02,41-43,2023,0.0,,41-43,
A02,41-43,2024,0.0,,41-43,
A02,45-47,2021,2.0,,45-47,
A02,45-47,2023,3.0,,45-47,
A02,45-47,2024,3.0,,45-47,
A02,49-53,2021,3.0,,49-53,
A02,49-53,2023,1.0,,49-53,
A02,49-53,2024,0.0,,49-53,
A02,55-56,2021,,,55-56,
A02,55-56,2023,,,55-56,
A02,55-56,2024,,,55-56,
A02,58-63,2021,5.0,,58-63,
A02,58-63,2023,17.0,,58-63,
A02,58-63,2024,23.0,,58-63,
A02,68,2021,1.0,,68,
A02,68,2023,2.0,,68,
A02,68,2024,5.0,,68,
A02,IKT,2021,5.0,,,IKT
A02,IKT,2023,15.0,,,IKT
A02,IKT,2024,19.0,,,IKT
A02,SE,2021,2.0,,,SE
