ändamål	redovisningsgrupp	tabellinnehåll	år	Användning av AI-baserad mjukvara eller system
marknadföring eller försäljning	totalt (SNI 10-63, 68-75, 77-82, 95.1) 	andel, procent	2021	3
marknadföring eller försäljning	totalt (SNI 10-63, 68-75, 77-82, 95.1) 	andel, procent	2023	3
marknadföring eller försäljning	totalt (SNI 10-63, 68-75, 77-82, 95.1) 	andel, procent	2024	10
marknadföring eller försäljning	totalt (SNI 10-63, 68-75, 77-82, 95.1) 	felmarginal, ±	2021	1
marknadföring eller försäljning	totalt (SNI 10-63, 68-75, 77-82, 95.1) 	felmarginal, ±	2023	1
marknadföring eller försäljning	totalt (SNI 10-63, 68-75, 77-82, 95.1) 	felmarginal, ±	2024	1
marknadföring eller försäljning	tillverkningsindustri (SNI 10-33)	andel, procent	2021	2
marknadföring eller försäljning	tillverkningsindustri (SNI 10-33)	andel, procent	2023	1
marknadföring eller försäljning	tillverkningsindustri (SNI 10-33)	andel, procent	2024	4
marknadföring eller försäljning	tillverkningsindustri (SNI 10-33)	felmarginal, ±	2021	1
marknadföring eller försäljning	tillverkningsindustri (SNI 10-33)	felmarginal, ±	2023	0
marknadföring eller försäljning	tillverkningsindustri (SNI 10-33)	felmarginal, ±	2024	1
marknadföring eller försäljning	energi och återvinning (SNI 35-39)	andel, procent	2021	2
marknadföring eller försäljning	energi och återvinning (SNI 35-39)	andel, procent	2023	2
marknadföring eller försäljning	energi och återvinning (SNI 35-39)	andel, procent	2024	5
marknadföring eller försäljning	energi och återvinning (SNI 35-39)	felmarginal, ±	2021	1
marknadföring eller försäljning	energi och återvinning (SNI 35-39)	felmarginal, ±	2023	1
marknadföring eller försäljning	energi och återvinning (SNI 35-39)	felmarginal, ±	2024	3
marknadföring eller försäljning	byggindustri (SNI 41-43)	andel, procent	2021	0
marknadföring eller försäljning	byggindustri (SNI 41-43)	andel, procent	2023	0
marknadföring eller försäljning	byggindustri (SNI 41-43)	andel, procent	2024	4
marknadföring eller försäljning	byggindustri (SNI 41-43)	felmarginal, ±	2021	0
marknadföring eller försäljning	byggindustri (SNI 41-43)	felmarginal, ±	2023	0
marknadföring eller försäljning	byggindustri (SNI 41-43)	felmarginal, ±	2024	4
marknadföring eller försäljning	handel; serviceverkstäder för motorfordon (SNI 45-47)	andel, procent	2021	4
marknadföring eller försäljning	handel; serviceverkstäder för motorfordon (SNI 45-47)	andel, procent	2023	5
marknadföring eller försäljning	handel; serviceverkstäder för motorfordon (SNI 45-47)	andel, procent	2024	14
marknadföring eller försäljning	handel; serviceverkstäder för motorfordon (SNI 45-47)	felmarginal, ±	2021	2
marknadföring eller försäljning	handel; serviceverkstäder för motorfordon (SNI 45-47)	felmarginal, ±	2023	2
marknadföring eller försäljning	handel; serviceverkstäder för motorfordon (SNI 45-47)	felmarginal, ±	2024	4
marknadföring eller försäljning	transport- och magasineringsföretag (SNI 49-53)	andel, procent	2021	3
marknadföring eller försäljning	transport- och magasineringsföretag (SNI 49-53)	andel, procent	2023	0
marknadföring eller försäljning	transport- och magasineringsföretag (SNI 49-53)	andel, procent	2024	4
marknadföring eller försäljning	transport- och magasineringsföretag (SNI 49-53)	felmarginal, ±	2021	3
marknadföring eller försäljning	transport- och magasineringsföretag (SNI 49-53)	felmarginal, ±	2023	0
marknadföring eller försäljning	transport- och magasineringsföretag (SNI 49-53)	felmarginal, ±	2024	4
marknadföring eller försäljning	hotell och restauranger (SNI 55-56)	andel, procent	2021	2
marknadföring eller försäljning	hotell och restauranger (SNI 55-56)	andel, procent	2023	..
marknadföring eller försäljning	hotell och restauranger (SNI 55-56)	andel, procent	2024	6
marknadföring eller försäljning	hotell och restauranger (SNI 55-56)	felmarginal, ±	2021	2
marknadföring eller försäljning	hotell och restauranger (SNI 55-56)	felmarginal, ±	2023	..
marknadföring eller försäljning	hotell och restauranger (SNI 55-56)	felmarginal, ±	2024	4
marknadföring eller försäljning	informations- och kommunikationsföretag (SNI 58-63)	andel, procent	2021	11
marknadföring eller försäljning	informations- och kommunikationsföretag (SNI 58-63)	andel, procent	2023	11
marknadföring eller försäljning	informations- och kommunikationsföretag (SNI 58-63)	andel, procent	2024	29
marknadföring eller försäljning	informations- och kommunikationsföretag (SNI 58-63)	felmarginal, ±	2021	4
marknadföring eller försäljning	informations- och kommunikationsföretag (SNI 58-63)	felmarginal, ±	2023	5
marknadföring eller försäljning	informations- och kommunikationsföretag (SNI 58-63)	felmarginal, ±	2024	7
marknadföring eller försäljning	fastighetsbolag och förvaltare (SNI 68)	andel, procent	2021	..
marknadföring eller försäljning	fastighetsbolag och förvaltare (SNI 68)	andel, procent	2023	..
marknadföring eller försäljning	fastighetsbolag och förvaltare (SNI 68)	andel, procent	2024	4
marknadföring eller försäljning	fastighetsbolag och förvaltare (SNI 68)	felmarginal, ±	2021	..
marknadföring eller försäljning	fastighetsbolag och förvaltare (SNI 68)	felmarginal, ±	2023	..
